epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.7821428775787354,31.812881469726562,0.7464285492897034,1.4031767845153809
1,0.8450000286102295,0.6966376304626465,0.9321428537368774,0.6797550320625305
2,0.9192857146263123,0.6740561723709106,0.9321428537368774,0.6689190864562988
3,0.9192857146263123,0.6633069515228271,0.9321428537368774,0.658530056476593
4,0.9192857146263123,0.6529898643493652,0.9321428537368774,0.6485221982002258
5,0.9192857146263123,0.6430198550224304,0.9321428537368774,0.6388227343559265
6,0.9192857146263123,0.6333385705947876,0.9321428537368774,0.6293901205062866
7,0.9192857146263123,0.6239124536514282,0.9321428537368774,0.6201988458633423
8,0.9192857146263123,0.6147199869155884,0.9321428537368774,0.6112321615219116
9,0.9192857146263123,0.6057462096214294,0.9321428537368774,0.6024771332740784
